"ordernumber","quantityordered","priceeach","orderlinenumber","sales","orderdate","status","qtr_id","month_id","year_id","productline","msrp","share_code","customername","phone","addressline1","addressline2","city","state","postalcode","country","territory","contactlastname","contactfirstname","dealsize"
10107,30,95.7,2,2871,"2/24/2003 0:00","Shipped",1,2,2003,"Motorcycles",95,"S10_1678","Land of Toys Inc.","2125557818","897 Long Airport Avenue",NULL,"NYC","NY","10022","USA","NA","Yu","Kwai","Small"
10121,34,81.35,5,2765.9,"05-07-2003 00:00","Shipped",2,5,2003,"Motorcycles",95,"S10_1678","Reims Collectables","26.47.1555","59 rue de l'Abbaye",NULL,"Reims",NULL,"51100","France","EMEA","Henriot","Paul","Small"
10134,41,94.74,2,3884.34,"07-01-2003 00:00","Shipped",3,7,2003,"Motorcycles",95,"S10_1678","Lyon Souveniers","+33 1 46 62 7555","27 rue du Colonel Pierre Avia",NULL,"Paris",NULL,"75508","France","EMEA","Da Cunha","Daniel","Medium"
10145,45,83.26,6,3746.7,"8/25/2003 0:00","Shipped",3,8,2003,"Motorcycles",95,"S10_1678","Toys4GrownUps.com","6265557265","78934 Hillside Dr.",NULL,"Pasadena","CA","90003","USA","NA","Young","Julie","Medium"
10159,49,100,14,5205.27,"10-10-2003 00:00","Shipped",4,10,2003,"Motorcycles",95,"S10_1678","Corporate Gift Ideas Co.","6505551386","7734 Strong St.",NULL,"San Francisco","CA",NULL,"USA","NA","Brown","Julie","Medium"
10168,36,96.66,1,3479.76,"10/28/2003 0:00","Shipped",4,10,2003,"Motorcycles",95,"S10_1678","Technics Stores Inc.","6505556809","9408 Furth Circle",NULL,"Burlingame","CA","94217","USA","NA","Hirano","Juri","Medium"
10180,29,86.13,9,2497.77,"11-11-2003 00:00","Shipped",4,11,2003,"Motorcycles",95,"S10_1678","Daedalus Designs Imports","20.16.1555","184, chausse de Tournai",NULL,"Lille",NULL,"59000","France","EMEA","Rance","Martine","Small"
10188,48,100,1,5512.32,"11/18/2003 0:00","Shipped",4,11,2003,"Motorcycles",95,"S10_1678","Herkku Gifts","+47 2267 3215","Drammen 121, PR 744 Sentrum",NULL,"Bergen",NULL,"N 5804","Norway","EMEA","Oeztan","Veysel","Medium"
10201,22,98.57,2,2168.54,"12-01-2003 00:00","Shipped",4,12,2003,"Motorcycles",95,"S10_1678","Mini Wheels Co.","6505555787","5557 North Pendale Street",NULL,"San Francisco","CA",NULL,"USA","NA","Murphy","Julie","Small"
10211,41,100,14,4708.44,"1/15/2004 0:00","Shipped",1,1,2004,"Motorcycles",95,"S10_1678","Auto Canal Petit","(1) 47.55.6555","25, rue Lauriston",NULL,"Paris",NULL,"75016","France","EMEA","Perrier","Dominique","Medium"
10223,37,100,1,3965.66,"2/20/2004 0:00","Shipped",1,2,2004,"Motorcycles",95,"S10_1678","Australian Collectors, Co.","03 9520 4555","636 St Kilda Road","Level 3","Melbourne","Victoria","3004","Australia","APAC","Ferguson","Peter","Medium"
10237,23,100,7,2333.12,"04-05-2004 00:00","Shipped",2,4,2004,"Motorcycles",95,"S10_1678","Vitachrome Inc.","2125551500","2678 Kingston Rd.","Suite 101","NYC","NY","10022","USA","NA","Frick","Michael","Small"
10251,28,100,2,3188.64,"5/18/2004 0:00","Shipped",2,5,2004,"Motorcycles",95,"S10_1678","Tekni Collectables Inc.","2015559350","7476 Moss Rd.",NULL,"Newark","NJ","94019","USA","NA","Brown","William","Medium"
10263,34,100,2,3676.76,"6/28/2004 0:00","Shipped",2,6,2004,"Motorcycles",95,"S10_1678","Gift Depot Inc.","2035552570","25593 South Bay Ln.",NULL,"Bridgewater","CT","97562","USA","NA","King","Julie","Medium"
10275,45,92.83,1,4177.35,"7/23/2004 0:00","Shipped",3,7,2004,"Motorcycles",95,"S10_1678","La Rochelle Gifts","40.67.8555","67, rue des Cinquante Otages",NULL,"Nantes",NULL,"44000","France","EMEA","Labrune","Janine","Medium"
10285,36,100,6,4099.68,"8/27/2004 0:00","Shipped",3,8,2004,"Motorcycles",95,"S10_1678","Marta's Replicas Co.","6175558555","39323 Spinnaker Dr.",NULL,"Cambridge","MA","51247","USA","NA","Hernandez","Marta","Medium"
